Student_ID,Height,Calcuim
2111,160,800
2112,170,900
2113,165,800
2114,175,900
2115,175,800
2116,175,800
2117,175,900
2118,170,900
2119,170,800
2120,175,800
2121,180,900
2122,185,800
2123,175,900
2124,175,800
2125,170,900
2126,180,900
2127,175,800
2128,175,800
2129,185,900
2130,165,800
2131,180,900
2132,175,900
2133,170,800
2134,175,800
2135,180,900
2136,175,800
2137,185,800
2138,175,900
2139,175,900
2140,170,900
2141,180,900
2142,175,800
2143,185,800
2144,180,800
2145,185,900
2146,180,800
2147,185,900
2148,180,800
2149,185,900
2150,175,900
2151,180,800
2152,175,900
2153,170,800
2154,175,900
2155,170,800
2156,180,900
2157,175,900
2158,185,800
2159,175,800
2160,175,800
2161,170,900
2162,185,800
2163,185,900
2164,175,800
2165,185,900
2166,175,800
2167,175,800
2168,180,900
2169,180,800
2170,175,800
2171,175,900
2172,170,800
2173,170,900
2174,175,800
2175,185,900
2176,180,800
2177,175,800
2178,175,900
2179,170,900
2180,175,800
2181,170,900
2182,170,900
2183,175,800
2184,175,800
2185,180,1200
2186,175,900
2187,175,900
2188,170,800
2189,170,800
2190,170,800
2191,175,900
2192,185,900
2193,180,900
2194,175,800
2195,170,800
2196,170,800
2197,175,900
2198,175,900
2199,170,800
2200,170,800
2201,185,900
2202,180,900
2203,185,1200
2204,175,900
2205,170,800
2206,170,800
2207,175,900
2208,180,1200
2209,175,900
2210,170,800
2211,185,1300
,,
